X	Y	Z
7211.292	10575.761	40.267
7323.841	3307.738	-35.29
7432.221	18217.57	32.895
7736.94	5183.886	16.332
8664.844	22582.197	-25.681
9077.444	12526.711	26.096
9313.254	14224.369	35.683
10002.602	6903.867	91.446
10211.346	5587.351	56.456
10116.862	17360.596	22.819
10195.415	24260.439	-11.58
10646.452	1218.905	93.17
11277.854	5069.483	78.06
11147.934	6218.502	8.942
11679.972	24500.732	30.386
12666.802	17334.934	12.985
12948.016	5511.979	22.285
13251.075	8910.523	20.973
13179.205	26780.652	32.975
13886.673	27700.361	211.47
13961.354	25058.617	90.156
14389.326	17457.637	83.689
14979.344	5490.571	48.581
15019.449	18977.568	168.141
15659.051	31164.184	847.736
15965.543	23685.145	47.659
16025.003	26364.387	89.836
16169.562	18203.773	-46.869
17232.082	9601.992	12.691
17449.42	7885.572	191.776
17575.17	21658.361	-44.308
17873.424	26887.094	8.003
18696.619	24899.965	90.886
19245.564	9752.355	123.572
19447.967	22725.68	11.55
19534.812	10375.027	83.844
19582.723	19040.039	32.601
20985.482	7420.031	-29.494
21167.41	26724.896	50.428
21972.305	27830.164	26.851
22365.473	22555.018	69.658
22547.967	12065.781	106.037
22877.424	10719.355	102.796
22883.146	18243.951	-38.066
22912.596	23072.061	878.806
23880.09	24104.854	112.018
24214.27	10452.395	45.115
26952.193	17256.229	22.415
27243.662	16023.348	199.296
27637.809	20389.551	46.795
27814.812	17129.832	36.4
5508.873	16619.424	12.141
5486.24	17861.824	9.8
5597.875	18843.428	3.193
5627.035	20173.375	-6.429
6640.755	7717.061	64.005
7327.811	3294.205	93.009
7805.531	5103.181	80.451
7758.506	19035.42	112.125
8438.423	15178.058	3.668
9891.295	12496.884	64.995
10114.672	17307.094	10.282
10212.944	5593.236	19.245
10629.657	1219.019	122.02
10880.639	19209.086	416.732
11162.67	9224.885	67.574
11261.302	5093.928	1.29
11460.954	10508.474	123.35
11525.572	6848.759	115.374
12202.258	7867.779	44.492
13852.695	27696.621	333.953
14264.184	9900.912	342.213
14357.479	17464.992	246.606
14353.379	22264.271	145.722
14616.586	27540.883	2.079
14997.34	23386.146	14.55
15049.171	21034.82	19.598
17170.844	13349.193	371.418
17619.256	8921.882	10.372
17693.889	23423.371	112.636
18223.93	21383.18	96.082
18711.449	15237.802	194.668
19052.908	10219.272	-35.15
19795.641	10744.317	14.397
19775.203	24167.801	-45.758
20183.104	13215.765	71.723
20195.914	18265.182	101.338
20793.527	25225.65	93.062
21530.68	11461.547	39.318
21967.379	27842.162	75.013
22811.568	8942.849	97.209
22667.887	24443.543	25.204
23599.656	12812.957	171.301
24159.572	17966.793	80.277
26405.469	14271.744	248.849
26434.734	17887.879	127.681
26933.479	19820.008	133.551
27807.674	17143.248	4.608
27915.441	15129.979	117.012
29580.188	21923.793	86.499
5516.518	16561.701	-41.184
6817.342	3256.354	-14.842
6700.473	4923.799	11.417
6620.064	10426.644	56.607
6598.522	17023.395	-38.761
7304.218	14877.633	88.178
7772.025	20325.58	32.944
8313.571	13893.54	44.52
8469.706	15188.538	16.193
9086.547	8237.449	16.464
9629.44	22477.758	-46.337
10089.229	9557.424	-1.912
10105.063	17351.982	64.752
10406.463	4437.846	57.188
11158.742	6284.969	15.99
11164.787	9229.081	-10.251
11770.184	4546.712	100.031
11986.657	6101.221	27.697
12202.171	19122.621	148.112
12168.656	24805.07	-4.001
12714.179	13272.034	-7.517
13715.38	23227.863	165.803
16350.372	16363.553	2.42
16411.072	23865.361	-3.91
16637.287	7268.987	69.298
17622.832	8887.865	136.56
17879.648	25840.342	-10.525
18045.498	7415.048	108.405
18094.637	19656.986	-18.255
18574.951	6821.554	178.739
18928.236	10976.718	23.081
19015.637	15910.297	277.553
19936.637	24140.125	-21.282
20329.648	10748.375	-36.812
21101.691	9406.52	42.681
21122.549	26727	11.402
21834.553	19798.604	209.087
22029.137	13191.291	399.366
21962.232	27831.648	55.213
22544.51	16113.394	172.437
22672.41	24449.697	-42.547
22900.148	10779.845	53.809
24329.475	23947.328	166.168
24793.059	25556.328	163.425
25980.355	19514.193	23.084
25925.043	23206.412	155.54
26945.463	19797.773	-24.206
27712.574	22769.473	91.552
3213.891	10327.053	126.35
6074.904	9245.531	184.374
6434.373	6751.797	53.895
7433.662	18179.08	86.942
7757.476	20328.146	48.111
8554.923	15202.543	383.84
8995.211	1338.95	32.579
9016.601	17688.5	8.428
10090.415	9560.508	-3.157
10261.315	24475.406	9.114
10745.005	6199.632	121.589
11429.648	8061.868	16.785
11450.619	20798.621	206.324
11413.126	22501.926	95.04
11670.769	3965.723	19.164
11708.156	10506.193	119.114
12060.887	2647.647	18.648
11834.939	16966.182	2.572
12079.344	25223.607	64.81
12276.73	12450.108	71.575
12373.04	11796.36	103.972
12726.395	13231.025	140.972
13094.082	9466.479	125.101
14620.853	3682.357	68.308
14586.44	27545.844	241.811
14793.981	18018.588	315.257
15035.131	21639.617	70.243
15666.103	31161.645	-45.977
16076.997	19039.914	-0.518
17422.998	21473.768	49.042
18235.895	6079.032	26.756
18601.523	10370.137	38.638
18849.344	19171.773	-15.477
18797.562	22875.711	20.631
19216.818	23389.639	-6.33
